b211237f25254366eb29dca6ba2e57a0807de443		Undeclared	Irritated|Frustrated|Angry|Annoyed|Disgusted		4	1	-1	-1
fc03df58d7106925ac6ba6d51c0b4ee67f117800		Undeclared	Thankful|Proud_|Tired	Angry|Mean|Impatient			-1	-1
518649c25db8e4b91efe94accee1b010b2c824db	37	Female	Stressed|Tired		1	3	-1	-1
cdf84a9a68a92950336e97db7464c0bf83bbb140		Undeclared			-1	-1	-1	-1
7dfa8b8a5ffd434c59a972a1b422f590710a76cf	28	Female	Sensitive|Appreciative|Hopeful|Guarded|Ashamed		1	1	-1	-1
b64e208f9c252b655f59e9b41be9309ca5a01b1e	28	Female	Homesick|Frustrated|Unhappy|Sensitive|Powerless		4	2	-1	-1
1d4ae4f37869f8ed6c31856239c15e92700f74ca		Undeclared	Thankful|Happy|Relieved		2	2	-1	-1
64b6de92391493f70e67a3526eeab2349b7091fa	37	Undeclared			-1	-1	-1	-1
0b968e32d82f68b1d45a212ed94dc7ad8adfedd8		Undeclared	Excited|Hyper	Caring			-1	-1
a41b7c1402b0a165d4bd1fbbbfd16559164925ab		Undeclared	Great|Cozy|Tired	Cozy|Quiet|Tired			-1	-1
60596ccbc9102180af1c8d67c82c7c5170d72781	25	Female			-1	-1	-1	-1
2dd46965e90219c647947619ec837de591c62ee3	16	Female	Neutral|Confused|Worried|Tired|Sensitive	Calm|Relaxed|Neutral|Tired	2	2	1	2
6fe0dac3c8e78fd9c8dda5bb48c0b3c17437a796		Undeclared		Peaceful|Thankful|Cozy			-1	-1
bbfbe62f62a1b28bd28bfd18296e00fa28371d8f	18	Female	Ashamed|Isolated|Heartbroken|Hurt|Lonely		2	3	-1	-1
046d723cabf988e4a71bf271230e58742899c54f	54	Female			1	1	-1	-1
1c0abe1f69a4c9bb62af477cf89aba3854036796	37	Undeclared			-1	-1	-1	-1
0bfb97902813363bbf0520713a36b656da900d07	32	Female	Hesitant|Afraid|Mixed_Up|Empathetic|Guarded		2	2	2	2
75da437e89a10ecee7f8b6bc23ffe10eebe1905e	8	Female	Creative|Happy|Kind|Joyful		1	1	-1	-1
53b567d21e8670c72e466bce2bd83d99b44a4674	14	Female	Heartbroken|Sad|Envious|Jealous		3	2	-1	-1
70dab72fd345357c1bc55f9ed0ec6117ea52f1f0		Undeclared	Restless		1	1	1	1
f1244520a8ddd2f9e0163e5759f8db7e3588a8db	33	Female			-1	-1	-1	-1
47433c61852e885ee054b77a5e1d6c49a05cb51c	29	Female	Unhappy|Worried|Guarded|Insecure|Hopeful		2	1	-1	-1
6858abc71f2be54a464512234ccb661d6c86b3d1	46	Female	Concerned|Conflicted|Hesitant	Balanced|Neutral|Open-minded	1	1	1	1
a5bb0b135dfb7b83c9b984de09d66fb474b3cc75		Undeclared					-1	-1
5e8568b1dbcaa3628572a47964957611ddd791a9		Undeclared	Tired|Cozy|Peaceful	Caring			-1	-1
709101a84f97154ff27117ad7d13a6b917b2a4ff		Undeclared	Great|Cozy|Hyper	Caring|Tired|Curious			-1	-1
01262835216b4a32e9bd3a177efb40595e794f14	29	Female	Unhappy|Worried|Guarded|Insecure|Hopeful		2	1	-1	-1
06e64058ccd72c2bb981b4b9fa22e8346ea73b43		Undeclared			-1	-1	-1	-1
285fcd2c4810f9a24333ece10c047e51a1e16f7b	36	Undeclared			-1	-1	-1	-1
1ca4e451cbc4c3e6ba730b29f2014f133c7978aa	38	Female	Strong|Proud|Enthusiastic|Hopeful|Encouraged	Connected|Relaxed|Grounded|Balanced|Calm	0	0	0	0
77f3f1adcb0b8828081ac7c7faa81f1649e7327a		Undeclared					-1	-1
8c982f29615254d4981735699b6ffcde6cf739da	25	Female		Relieved|Grateful|Thankful	-1	-1	1	1
c4e1a55c9c95f7955e74552f3607590ac00a9b1c	25	Female	Appreciative|Encouraged|Anxious|Hopeful|Thankful		1	1	-1	-1
d958dad9043c3dfbc4abc6434b5c855bfacf3be5	46	Male			-1	-1	-1	-1
617e5966bc4ed6aca114e47f0db27c1fd6aa6e5e	35	Female			-1	-1	-1	-1
3b54337fa81afb3703ff601fb05533b65350bb23		Undeclared			-1	-1	-1	-1
41c0a09d5bb2df5e96aa9ed1ca6c4d893384c9c8	11	Undeclared	Indifferent|Neutral	Balanced|Fiery|Encouraged|Neutral	1	1	0	1
42c834c7036c00851f5a4eb63966f1f59fc6dedf	42	Male			-1	-1	-1	-1
602084b7dd5aab2079dfaca86866a7d1ac2f8a68	17	Male			4	2	-1	-1
20209dc8e20a1bd366c6f3054a2aaa5af1bad100		Undeclared			-1	-1	-1	-1
ab00af86ad14b9096a98d9bbf809e7d510fa980d	52	Female			-1	-1	-1	-1
58c5dd82a77b7f94e33b0c06bffc51e52253c03a		Undeclared	Hysterical|Angry				-1	-1
e4ca0f4a23e17314c29db5eff292e60dc06d15dc	18	Female	Ashamed|Isolated|Heartbroken|Hurt|Lonely		2	3	-1	-1
d68271424667690ecc461412667e5f063bffb610	10	Undeclared			-1	-1	-1	-1
23a16c7a2225d3ccace85cab06863f06f28cc316	14	Female		Satisfied	-1	-1	0	0
a34494dfc11a0312a2391c5fcd9b327295d033c0	39	Female			-1	-1	-1	-1
82dbf78af99572634cd3e570a3655bb7ede01dc0	11	Female		Hopeful|Glad|Excited|Relieved|Satisfied	-1	-1	0	0
2a801824476cd78693ec8384543995a7422ea9fa		Undeclared	Tired|Cozy|Peaceful	Caring			-1	-1
764ad8771b3b7f2a484a65dacd174f297599a76b	31	Undeclared	Restless|Indifferent|Grumpy|Bored		1	2	-1	-1
e400fdac654dc893ec91eb3380f8d495ba1fe596	36	Male			-1	-1	-1	-1
fcb553ab47782473fa40a7778993d5ba0b3a0d8e		Undeclared	Appreciative|Scattered|Thankful|Content		1	1	-1	-1
608a6897d25ba54229711d69ba6dfb88d8ff875a		Undeclared	Hysterical|Angry				-1	-1
5115ef3fc6caad31e94e7d03a092f0e9d19486e8		Undeclared	Proud_|Tired|Excited	Tired|Proud_|Excited			-1	-1
e1b3e9ca9ee8d6b57630241e4667b576e1d9089d	38	Undeclared			-1	-1	-1	-1
4e64590a3527c968ef0f996965a29c0ee51896cf	29	Female			-1	-1	-1	-1
6574986a36a9b8bdd2934a0ab2b4f455a364b87e	17	Female			-1	-1	3	3
90b64249150745f4ceb247bcda112fcce00dd07a	18	Female	Ashamed|Isolated|Heartbroken|Hurt|Lonely		2	3	-1	-1
e9780f6b6efc7e6caf07eb48c2b71aa4684ad92a		Undeclared	Wild|Proud_|Awkward	Cozy|Tired|Caring			-1	-1
17c5e1da4eed85c21766975c2f1a416753c92ccc	28	Female	Sensitive|Appreciative|Hopeful|Guarded|Ashamed		1	1	-1	-1
d8fced3c961692d973b3b755e70ae583e22291c3		Undeclared		Thankful			-1	-1
32110eba55a7304466ecb8363c0406a5ddfbb4dc		Undeclared			-1	-1	-1	-1
8e770a242834feb33ef1442d380c2ee5e1655adc	36	Undeclared			-1	-1	-1	-1
6e8f4dd01f21fc10368c8e462d3d2aa0e04886be		Undeclared	Great|Cozy|Tired	Cozy|Quiet|Tired			-1	-1
7b9a834f54406737ebd0f731f4ad5f1bacb7219a	71	Female	Thankful|Strong|Relieved|Happy		1	1	-1	-1
ca3db563c18a8b6f85d71dc53357eda54d42616c	65	Male		Relaxed|Balanced|Calm|Connected|Non-judgmental	-1	-1	0	0
9aad892a31a37fa5b745a4593649d57de9c00e4a	15	Female			-1	-1	-1	-1
40d5183baa1f2680edb490064245cb28e782dd25	20	Female	Overwhelmed|Anxious|Exhausted|Stressed|Impatient		2	3	-1	-1
cb77308f934b3349e80c860014912421e6b8c1b3	15	Male	Neutral|Calm|Lonely|Apathetic	Relieved|Content	2	0	0	0
b5517982118ac4f952ea5769760adc5b3fe6d89a	54	Female			1	1	-1	-1
5f030d210eea532131ad4bf3314f8e1de8d7e7d9		Undeclared			2	3	-1	-1
1b5a2a759c8fa7035e980619095a1b5d8e520b92		Undeclared	Lonely|Shy|Awkward	Happy|Great|Proud_			-1	-1
fdee592a35d6c8e20eddf4c9977b43dc8ec3d822		Undeclared		Thankful	-1	-1	1	1
199e6dce4eb8f47a09b418a28fb835f9c81bf00c	33	Female	Appreciative|Grateful|Happy|Open-minded|Open-hearted	Relaxed|Balanced|Grounded|Calm|Open-minded	1	1	1	1
8bb2de8147dded604668c10b4bfaa6451edb4137		Undeclared	Wild|Proud_|Awkward	Cozy|Tired|Caring			-1	-1
21aa863db78da68f23b1beb90af317112eadfe53	14	Female	Rejected|Heartbroken|Hurt|Jealous|Sad		3	1	-1	-1
cadecfbb29c37621c0f16bf30cf26a37b37b5eda	47	Female			2	1	-1	-1
c8f4d12b20d27451915ef3ad97fc96ed038a48a5		Undeclared	Wild	Cozy|Caring|Thankful			-1	-1
d9aa617c6981776276fdad9a1c8dfb80585e6d6b	34	Female	Overwhelmed|Exhausted|Frustrated|Irritated|Depressed	Discouraged|Stressed|Restless|Anxious|Tired	4	2	2	2
da372e13516945097aee18bdd24b6142787961a9	34	Male	Thankful|Creative|Hopeful|Grateful|Appreciative		1	1	-1	-1
